"zip","area_name","LA_city","lon","lat","native_territories","native_languages"
90062,"South Central",TRUE,-118.3082034,34.0031792,"Chumash,Tongva,Kizh","Tongva"
90063,"City Terrace",FALSE,-118.1854042,34.0440239,"Chumash,Tongva,Kizh","Tongva"
90064,"Cheviot Hills/Rancho Park",TRUE,-118.4221519,34.0386656,"Chumash,Tongva,Kizh","Tongva"
90065,"Cypress Park/Glassell Park/Mt. Washin",TRUE,-118.2234229,34.10885,"Chumash,Tongva,Kizh","Tongva"
90066,"Mar Vista",TRUE,-118.4338345,34.0050173,"Chumash,Tongva,Kizh","Tongva"
90067,"Century City",TRUE,-118.4148498,34.0571327,"Chumash,Tongva,Kizh","Tongva"
90068,"Hollywood",TRUE,-118.3286614,34.1235157,"Chumash,Tongva,Kizh","Tongva"
90069,"West Hollywood",FALSE,-118.3783347,34.0931603,"Chumash,Tongva,Kizh","Tongva"
90070,"Los Angeles",FALSE,-118.3101649,34.0598902,"Chumash,Tongva,Kizh","Tongva"
90071,"ARCO Towers",TRUE,-118.2548551,34.052996,"Chumash,Tongva,Kizh","Tongva"
90072,"Los Angeles",FALSE,-118.3092914,34.0965275,"Chumash,Tongva,Kizh","Tongva"
90073,"VA Hospital (Sawtelle)",FALSE,-118.452087,34.0522561,"Chumash,Tongva,Kizh","Chumash,Tongva"
90075,"Los Angeles",FALSE,-118.3100196,34.059975,"Chumash,Tongva,Kizh","Tongva"
90076,"Los Angeles",FALSE,-118.3099973,34.0599809,"Chumash,Tongva,Kizh","Tongva"
90077,"Bel Air Estates & Beverly Glen",TRUE,-118.4571974,34.1014861,"Chumash,Tongva,Kizh","Chumash,Tongva"
90078,"Los Angeles",FALSE,-118.3310632,34.0993907,"Chumash,Tongva,Kizh","Tongva"
90079,"Los Angeles",FALSE,-118.2554032,34.0405313,"Chumash,Tongva,Kizh","Tongva"
90080,"Airport Worldway",TRUE,NA,NA,NA,NA
90081,"Los Angeles",FALSE,-118.2511908,34.052984,"Chumash,Tongva,Kizh","Tongva"
90082,"Los Angeles",FALSE,-118.2798042,33.9999897,"Chumash,Tongva,Kizh","Tongva"
90083,"Los Angeles",FALSE,-118.4,33.95,"Chumash,Tongva,Kizh","Tongva"
90086,"Los Angeles",FALSE,-118.24,34.06,"Chumash,Tongva,Kizh","Tongva"
90087,"Los Angeles",FALSE,-118.24,34.06,"Chumash,Tongva,Kizh","Tongva"
90089,"USC",TRUE,-118.2892046,34.0220127,"Chumash,Tongva,Kizh","Tongva"
90091,"Los Angeles",FALSE,-118.1499982,33.9899979,"Chumash,Tongva,Kizh","Tongva"
90093,"Los Angeles",FALSE,-118.33,34.1,"Chumash,Tongva,Kizh","Tongva"
90094,"Playa Vista",FALSE,-118.4177707,33.9744806,"Chumash,Tongva,Kizh","Tongva"
90095,"Los Angeles",FALSE,-118.4440562,34.070264,"Chumash,Tongva,Kizh","Chumash,Tongva"
90099,"Los Angeles",FALSE,-118.24,34.06,"Chumash,Tongva,Kizh","Tongva"
90201,"Bell/Bell Gardens/Cudahy",FALSE,-118.1766294,33.9667212,"Chumash,Tongva,Kizh","Tongva"
90202,"Bell Gardens",FALSE,-118.19,33.9799999,"Chumash,Tongva,Kizh","Tongva"
90209,"Beverly Hills",FALSE,-118.389995,34.0699904,"Chumash,Tongva,Kizh","Tongva"
90210,"Beverly Hills/Beverly Glen",TRUE,-118.4069666,34.0683231,"Chumash,Tongva,Kizh","Tongva"
90211,"Beverly Hills",FALSE,-118.3841777,34.0661071,"Chumash,Tongva,Kizh","Tongva"
90212,"Beverly Hills",FALSE,-118.4017053,34.0617109,"Chumash,Tongva,Kizh","Tongva"
90213,"Beverly Hills",FALSE,-118.3997374,34.0695104,"Chumash,Tongva,Kizh","Tongva"
90220,"Compton/Rancho Dominguez",FALSE,-118.2351192,33.8803536,"Tongva,Kizh","Tongva"
90221,"East Rancho Dominguez",FALSE,-118.2000277,33.8890686,"Tongva,Kizh","Tongva"
90222,"Compton/Rosewood/Willowbrook",FALSE,-118.2351192,33.9111458,"Tongva,Kizh","Tongva"
90223,"Compton",FALSE,-118.2199049,33.89989,"Tongva,Kizh","Tongva"
90224,"Compton",FALSE,-118.22,33.89,"Tongva,Kizh","Tongva"
90230,"Culver City",FALSE,-118.3987842,33.9933257,"Chumash,Tongva,Kizh","Tongva"
90231,"Culver City",FALSE,-118.39,34,"Chumash,Tongva,Kizh","Tongva"
90232,"Culver City",FALSE,-118.3900204,34.0236878,"Chumash,Tongva,Kizh","Tongva"
90233,"Culver City",FALSE,-118.3899667,33.9799584,"Chumash,Tongva,Kizh","Tongva"
90239,"Downey",FALSE,-118.13,33.94,"Tongva,Kizh","Tongva"
90240,"Downey",FALSE,-118.1210458,33.9574105,"Tongva,Kizh","Tongva"
90241,"Downey",FALSE,-118.1298234,33.9372725,"Tongva,Kizh","Tongva"
90242,"Downey",FALSE,-118.1298234,33.9167378,"Tongva,Kizh","Tongva"
90245,"El Segundo",FALSE,-118.4046264,33.9150066,"Tongva,Kizh","Tongva"
90247,"Gardena",FALSE,-118.2935891,33.8863314,"Tongva,Kizh","Tongva"
90248,"Gardena",FALSE,-118.2935891,33.8658064,"Tongva,Kizh","Tongva"
90249,"Gardena",FALSE,-118.3169714,33.901022,"Tongva,Kizh","Tongva"
90250,"Hawthorne (Holly Park)",FALSE,-118.3520389,33.9127807,"Tongva,Kizh","Tongva"
90251,"Hawthorne",FALSE,-118.35,33.92,"Tongva,Kizh","Tongva"
90254,"Hermosa Beach",FALSE,-118.3987842,33.8600693,"Tongva,Kizh","Tongva"
90255,"Huntington Park/Walnut Park",FALSE,-118.2234229,33.9756107,"Chumash,Tongva,Kizh","Tongva"
90260,"Lawndale",FALSE,-118.3520389,33.8922687,"Tongva,Kizh","Tongva"
90261,"Lawndale (Federal Bldg)",FALSE,-118.3776043,33.8954945,"Tongva,Kizh","Tongva"
90262,"Lynwood",FALSE,-118.2000277,33.9198647,"Tongva,Kizh","Tongva"
90263,"Pepperdine University (Malibu)",FALSE,-118.7037647,34.0327657,"Micqanaqa’n,Chumash,Tongva","Chumash,Ventureño,Tongva"
90264,"Malibu",FALSE,-118.6941818,34.0349051,"Micqanaqa’n,Chumash,Tongva","Chumash,Ventureño,Tongva"
90265,"Malibu",FALSE,-118.8363756,34.0615492,"Micqanaqa’n,Chumash","Chumash,Ventureño"
90266,"Manhattan Beach",FALSE,-118.3987842,33.8908371,"Tongva,Kizh","Tongva"
90267,"Manhattan Beach",FALSE,-118.41,33.88,"Tongva,Kizh","Tongva"
90270,"Maywood",FALSE,-118.1854042,33.9876248,"Chumash,Tongva,Kizh","Tongva"
90272,"Castellemare/Pacific Highlands/Pacifi",TRUE,-118.5447787,34.0845245,"Chumash,Tongva,Kizh","Chumash,Tongva"
90274,"Palos Verdes Estates/Rolling Hills/Rolling Hills Estates",FALSE,-118.3520389,33.7793751,"Tongva,Kizh","Tongva"
